Month,Primary Energy Consumed by the Residential Sector,Electricity Sales to Ultimate Customers in the Residential Sector,End-Use Energy Consumed by the Residential Sector,Residential Sector Electrical System Energy Losses,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Electricity Sales to Ultimate Customers in the Commercial Sector,End-Use Energy Consumed by the Commercial Sector,Commercial Sector Electrical System Energy Losses,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Electricity Sales to Ultimate Customers in the Industrial Sector,End-Use Energy Consumed by the Industrial Sector,Industrial Sector Electrical System Energy Losses,Total Energy Consumed by the Industrial Sector
1995 abril,591.206,233.974,825.18,514.256,1339.436,342.037,242.374,584.411,532.72,1117.13,1838.316,279.327,2117.642,613.939,2731.581
1995 mayo,407.996,239.119,647.116,561.847,1208.962,256.637,252.594,509.231,593.509,1102.74,1853.301,290.318,2143.619,682.146,2825.765
1995 junio,291.235,287.351,578.586,662.247,1240.833,202.539,282.417,484.956,650.875,1135.831,1830.369,298.903,2129.271,688.869,2818.141
1995 julio,255.484,354.918,610.402,868.313,1478.715,195.425,308.501,503.926,754.753,1258.679,1882.118,295.738,2177.856,723.527,2901.383
1995 agosto,242.506,392.05,634.556,940.991,1575.547,199.085,318.44,517.525,764.314,1281.839,1945.222,308.171,2253.393,739.666,2993.059
1995 septiembre,265.657,320.387,586.044,662.054,1248.099,202.176,292.093,494.269,603.587,1097.856,1912.497,293.52,2206.017,606.535,2812.551
1995 octubre,366.668,254.891,621.559,563.815,1185.374,246.815,273.05,519.865,603.982,1123.846,1942.992,293.094,2236.086,648.319,2884.404
1995 noviembre,683.068,262.473,945.541,589.238,1534.78,397.537,257.412,654.949,577.876,1232.826,1906.54,282.175,2188.715,633.468,2822.183
1995 diciembre,1004.271,315.317,1319.588,726.882,2046.469,551.362,264.687,816.049,610.166,1426.215,1964.62,281.428,2246.048,648.759,2894.808
1996 enero,1204.23,370.613,1574.843,817.05,2391.893,609.6,273.851,883.452,603.73,1487.182,2005.168,282.812,2287.981,623.485,2911.466
1996 febrero,1077.624,327.953,1405.577,689.397,2094.974,562.06,262.998,825.058,552.854,1377.912,1854.931,281.505,2136.437,591.758,2728.195
1996 marzo,932.849,296.981,1229.83,658.393,1888.223,494.542,261.745,756.287,580.277,1336.565,1989.79,289.636,2279.426,642.111,2921.537
1996 abril,649.341,254.585,903.926,554.673,1458.599,371.606,249.653,621.259,543.927,1165.186,1848.399,280.366,2128.765,610.841,2739.606
1996 mayo,418.598,254.326,672.925,622.362,1295.287,256.987,266.404,523.392,651.918,1175.31,1881.716,295.661,2177.377,723.513,2900.89
1996 junio,294.46,310.311,604.771,727.186,1331.957,203.7,293.523,497.223,687.847,1185.07,1907.302,302.009,2209.311,707.732,2917.043
1996 julio,250.511,362.1,612.611,863.33,1475.941,194.904,309.905,504.809,738.885,1243.694,1919.357,302.286,2221.643,720.719,2942.362
1996 agosto,247.704,360.162,607.866,840.338,1448.203,192.861,317.629,510.49,741.099,1251.589,1985.688,309.776,2295.463,722.776,3018.239
1996 septiembre,275.301,312.49,587.791,659.334,1247.125,196.42,298.883,495.303,630.626,1125.929,1885.459,301.557,2187.015,636.266,2823.281
1996 octubre,410.345,257.194,667.539,574.509,1242.048,257.462,275.711,533.173,615.871,1149.043,2103.686,302.425,2406.11,675.543,3081.654
1996 noviembre,721.355,267.006,988.361,609.635,1597.996,402.085,262.755,664.84,599.929,1264.769,1979.161,290.464,2269.626,663.196,2932.821
1996 diciembre,982.86,319.81,1302.67,722.188,2024.858,531.449,270.911,802.36,611.765,1414.124,1982.486,288.253,2270.739,650.928,2921.667
1997 enero,1169.188,362.139,1531.327,794.836,2326.163,606.472,289.11,895.582,634.549,1530.131,2061.398,286.561,2347.96,628.955,2976.915
1997 febrero,968.586,307.935,1276.521,619.909,1896.43,526.291,267.482,793.774,538.473,1332.247,1849.609,278.898,2128.507,561.454,2689.961
1997 marzo,802.626,277.81,1080.436,626.985,1707.421,459.145,267.84,726.985,604.484,1331.469,1962.835,284.062,2246.897,641.095,2887.991
1997 abril,603.585,248.198,851.783,541.043,1392.826,358.047,263.849,621.896,575.16,1197.057,1955.321,287.649,2242.97,627.042,2870.012
1997 mayo,424.499,241.496,665.994,570.45,1236.444,279.605,269.826,549.431,637.371,1186.803,1945.439,295.238,2240.677,697.398,2938.075
1997 junio,291.128,285.191,576.319,675.504,1251.823,226.678,300.838,527.516,712.566,1240.082,1893.651,304.555,2198.206,721.369,2919.575
1997 julio,252.881,373.038,625.918,910.39,1536.308,219.115,333.822,552.937,814.685,1367.622,1971.965,302.479,2274.444,738.193,3012.637
1997 agosto,245.299,364.98,610.279,853.763,1464.042,213.54,325.835,539.375,762.195,1301.571,1980.192,312.075,2292.267,730.007,3022.274
1997 septiembre,258.731,323.463,582.194,698.143,1280.337,214.356,318.303,532.659,687.006,1219.665,1928.831,307.693,2236.524,664.106,2900.63
1997 octubre,384.314,287.024,671.337,619.611,1290.949,268.261,304.362,572.623,657.041,1229.664,2074.753,304.017,2378.77,656.296,3035.066
1997 noviembre,676.345,272.938,949.283,605.173,1554.456,395.844,275.737,671.582,611.381,1282.962,1950.835,291.215,2242.05,645.698,2887.748
1997 diciembre,954.113,326.692,1280.806,744.939,2025.745,528.312,285.842,814.155,651.791,1465.945,2046.212,287.886,2334.098,656.451,2990.549
1998 enero,1033.182,349.869,1383.051,767.46,2150.511,560.594,290.779,851.373,637.843,1489.216,2015.142,282.945,2298.087,620.659,2918.747
1998 febrero,884.292,295.328,1179.62,608.239,1787.859,489.984,270.826,760.81,557.775,1318.585,1808.332,283.05,2091.382,582.952,2674.334
1998 marzo,844.357,293.384,1137.741,667.442,1805.183,465.941,281.204,747.145,639.732,1386.877,1940.609,289.62,2230.229,658.879,2889.108
1998 abril,559.432,253.153,812.585,551.354,1363.939,336.544,273.999,610.544,596.755,1207.299,1887.578,288.889,2176.467,629.183,2805.65
1998 mayo,362.952,264.492,627.444,651.119,1278.563,248.592,293.676,542.268,722.963,1265.231,1877.458,306.029,2183.487,753.374,2936.861
1998 junio,276.806,335.893,612.699,812.965,1425.664,207.892,324.057,531.95,784.32,1316.27,1823.27,307.596,2130.866,744.479,2875.346
1998 julio,248.546,414.463,663.009,998.829,1661.838,211.285,349.65,560.934,842.633,1403.567,1954.758,304.17,2258.928,733.029,2991.957
1998 agosto,236.964,410.353,647.317,950.738,1598.055,213.81,356.008,569.818,824.827,1394.645,1991.591,319.356,2310.947,739.909,3050.856
1998 septiembre,233.304,363.859,597.162,782.255,1379.417,203.446,341.811,545.257,734.855,1280.113,1911.196,306.433,2217.629,658.795,2876.424
1998 octubre,348.011,296.24,644.251,631.406,1275.657,250.712,309.603,560.315,659.888,1220.202,1997.596,301.349,2298.944,642.295,2941.24
1998 noviembre,560.881,262.785,823.666,557.114,1380.78,346.641,290.124,636.765,615.073,1251.838,1885.006,298.696,2183.702,633.247,2816.949
1998 diciembre,822.855,316.113,1138.969,713.737,1852.705,469.589,296.252,765.841,668.893,1434.735,2021.286,298.571,2319.857,674.13,2993.987
1999 enero,1170.283,379.481,1549.763,854.828,2404.592,597.275,302.799,900.074,682.094,1582.168,1942.506,283.715,2226.221,639.104,2865.325
1999 febrero,913.019,295.838,1208.857,647.814,1856.671,508.794,281.83,790.625,617.141,1407.766,1749.238,277.902,2027.14,608.539,2635.679
1999 marzo,889.222,305.203,1194.424,707.077,1901.501,489.966,290.401,780.367,672.786,1453.153,1880.381,292.757,2173.138,678.243,2851.381
1999 abril,579.64,263.696,843.337,609.077,1452.413,338.887,284.198,623.085,656.431,1279.516,1844.734,292.799,2137.533,676.296,2813.829
1999 mayo,369.834,263.242,633.076,645.57,1278.647,244.105,297.852,541.956,730.447,1272.403,1829.814,305.356,2135.17,748.852,2884.022
1999 junio,279.49,327.263,606.753,783.102,1389.855,208.272,331.501,539.773,793.242,1333.015,1853.539,311.262,2164.801,744.814,2909.615
1999 julio,244.032,420.104,664.136,1021.615,1685.751,197.234,367.677,564.911,894.123,1459.034,1894.558,317.148,2211.706,771.245,2982.951
1999 agosto,238.435,422.951,661.385,988.528,1649.913,202.592,360.416,563.008,842.371,1405.379,2003.693,317.077,2320.77,741.077,3061.847
1999 septiembre,257.206,355.034,612.24,727.294,1339.534,200.078,339.611,539.69,695.7,1235.389,1986.129,309.638,2295.767,634.299,2930.066
1999 octubre,389.088,281.849,670.937,601.56,1272.496,256.969,315.663,572.632,673.73,1246.361,1983.787,306.529,2290.316,654.236,2944.552
1999 noviembre,549.732,267.12,816.852,576.851,1393.703,331.378,291.281,622.658,629.028,1251.687,1915.417,301.804,2217.22,651.753,2868.973
1999 diciembre,893.315,324.698,1218.013,716.572,1934.585,478.277,303.008,781.285,668.706,1449.991,1994.988,294.648,2289.636,650.256,2939.891
2000 enero,1126.861,373.587,1500.448,876.197,2376.644,576.529,313.382,889.911,734.995,1624.906,1885.429,293.392,2178.822,688.111,2866.933
2000 febrero,1001.826,335.897,1337.723,729.523,2067.246,532.118,302.355,834.473,656.673,1491.145,1858.435,288.692,2147.127,626.999,2774.126
2000 marzo,749.527,288.809,1038.336,678.391,1716.727,446.545,303.867,750.412,713.76,1464.172,1903.487,301.275,2204.762,707.673,2912.435
2000 abril,565.103,260.091,825.194,604.475,1429.67,338.989,293.801,632.79,682.82,1315.61,1793.915,294.928,2088.843,685.439,2774.282
2000 mayo,368.115,284.446,652.561,715.061,1367.622,255.817,323.776,579.593,813.931,1393.524,1933.022,308.999,2242.021,776.784,3018.804
2000 junio,275.679,354.768,630.446,826.923,1457.37,213.863,351.925,565.788,820.299,1386.087,1888.669,314.537,2203.205,733.149,2936.355
2000 julio,248.353,407.65,656.003,947.546,1603.549,204.179,367.531,571.711,854.295,1426.005,1876.96,306.72,2183.68,712.944,2896.625
2000 agosto,259.868,422.301,682.169,971.375,1653.544,229.318,382.602,611.92,880.06,1491.979,1999.086,321.844,2320.93,740.303,3061.233
2000 septiembre,277.46,370.36,647.82,745.134,1392.954,222.435,355.024,577.459,714.278,1291.737,1906.964,309.124,2216.088,621.932,2838.021
2000 octubre,398.545,296.27,694.815,621.193,1316.008,263.622,327.999,591.621,687.72,1279.341,1937.362,305.093,2242.454,639.693,2882.147
2000 noviembre,685.909,288.369,974.278,628.17,1602.448,388.668,312.133,700.801,679.935,1380.736,1841.632,299.186,2140.819,651.733,2792.552
2000 diciembre,1199.769,386.079,1585.848,845.426,2431.274,606.373,321.296,927.669,703.566,1631.235,1923.962,287.394,2211.357,629.329,2840.685
2001 enero,1259.614,433.597,1693.211,914.686,2607.896,635.286,340.253,975.539,717.775,1693.314,1897.597,285.127,2182.724,601.484,2784.208
2001 febrero,1011.599,340.776,1352.374,693.28,2045.654,533.816,306.046,839.863,622.627,1462.49,1731.933,280.838,2012.771,571.343,2584.114
2001 marzo,910.141,316.689,1226.829,711.749,1938.578,483.688,315.459,799.148,708.986,1508.134,1875.23,285.218,2160.448,641.02,2801.468
2001 abril,568.741,281.279,850.02,612.87,1462.889,341.953,304.337,646.29,663.108,1309.398,1811.593,280.657,2092.25,611.514,2703.764
2001 mayo,342.474,278.95,621.424,649.483,1270.906,233.438,328.045,561.483,763.791,1325.274,1793.725,293.696,2087.421,683.816,2771.238
2001 junio,269.265,339.187,608.451,784.379,1392.83,202.416,357.539,559.955,826.818,1386.773,1722.903,291.015,2013.918,672.98,2686.898
2001 julio,250.353,411.812,662.165,955.933,1618.098,201.811,380.44,582.251,883.112,1465.363,1789.05,283.744,2072.794,658.652,2731.446
2001 agosto,243.045,440.796,683.841,1001.202,1685.043,204.356,394.923,599.278,897.008,1496.286,1857.93,296.115,2154.045,672.581,2826.626
2001 septiembre,249.278,361.523,610.801,735.834,1346.634,208.454,364.794,573.249,742.491,1315.74,1764.813,281.939,2046.752,573.851,2620.602
2001 octubre,390.69,291.469,682.159,638.72,1320.879,263.958,336.245,600.203,736.842,1337.046,1907.246,283.665,2190.912,621.62,2812.532
2001 noviembre,535.359,275.684,811.044,607.839,1418.882,317.502,313.344,630.846,690.872,1321.717,1800.569,272.444,2073.013,600.694,2673.708
2001 diciembre,834.956,328.121,1163.077,760.545,1923.622,458.287,320.621,778.909,743.162,1522.071,1773.065,265.972,2039.036,616.49,2655.527
2002 enero,1058.755,398.835,1457.59,864.28,2321.869,548.729,325.491,874.22,705.343,1579.563,1882.377,266.956,2149.333,578.496,2727.829
2002 febrero,922.876,329.575,1252.451,683.438,1935.889,497.398,302.478,799.876,627.247,1427.123,1683.764,266.339,1950.102,552.305,2502.408
2002 marzo,866.604,325.227,1191.831,729.594,1921.425,468.119,311.361,779.48,698.487,1477.967,1824.034,274.534,2098.568,615.871,2714.439
2002 abril,564.22,291.411,855.631,651.93,1507.561,340.862,311.725,652.587,697.376,1349.963,1795.553,275.521,2071.073,616.382,2687.455
2002 mayo,393.374,297.931,691.305,684.595,1375.9,260.42,331.295,591.715,761.259,1352.974,1824.232,288.177,2112.409,662.183,2774.592
2002 junio,276.366,365.664,642.03,853.376,1495.406,207.238,356.356,563.595,831.654,1395.249,1780.44,287.928,2068.368,671.957,2740.325
2002 julio,242.485,456.167,698.652,1044.425,1743.077,201.855,392.282,594.137,898.157,1492.294,1869.061,300.676,2169.737,688.417,2858.154
2002 agosto,234.988,458.342,693.331,1014.228,1707.559,201.191,392.416,593.607,868.345,1461.952,1859.163,301.159,2160.322,666.41,2826.732
2002 septiembre,245.094,395.222,640.316,823.258,1463.574,205.342,374.711,580.053,780.532,1360.585,1780.67,287.789,2068.46,599.472,2667.932
2002 octubre,411.373,322.541,733.914,683.231,1417.144,277.865,358.852,636.717,760.148,1396.865,1831.343,286.554,2117.897,607.001,2724.898
2002 noviembre,672.81,303.062,975.871,682.004,1657.876,387.588,320.954,708.542,722.268,1430.809,1815.846,271.955,2087.801,612.003,2699.805
2002 diciembre,1019.292,372.817,1392.109,845.797,2237.906,535.76,331.94,867.7,753.061,1620.761,1780.412,271.104,2051.516,615.044,2666.559
2003 enero,1236.885,424.019,1660.904,938.882,2599.786,658.156,336.278,994.434,744.603,1739.037,1848.591,275.786,2124.376,610.657,2735.034
2003 febrero,1129.4,378.518,1507.918,773.633,2281.551,602.643,311.307,913.95,636.264,1550.214,1755.492,271.311,2026.802,554.517,2581.319
2003 marzo,892.674,339.703,1232.377,738.867,1971.244,497.738,315.882,813.62,687.054,1500.674,1787.964,278.959,2066.923,606.747,2673.67
2003 abril,583.48,284.725,868.205,622.799,1491.005,348.902,306.004,654.906,669.344,1324.25,1757.139,283.393,2040.532,619.884,2660.416
2003 mayo,392.5,299.589,692.089,687.375,1379.464,255.641,326.934,582.575,750.116,1332.692,1732.631,288.721,2021.352,662.44,2683.792
2003 junio,283.004,345.587,628.591,784.53,1413.121,205.189,349.414,554.602,793.216,1347.819,1693.372,294.148,1987.52,667.756,2655.276
2003 julio,252.31,445.859,698.169,990.751,1688.921,205.367,393.175,598.541,873.68,1472.222,1823.157,299.343,2122.5,665.174,2787.674
2003 agosto,239.31,458.804,698.114,1011.288,1709.401,202.496,396.558,599.053,874.085,1473.139,1823.792,308.91,2132.702,680.893,2813.595
2003 septiembre,266.274,388.453,654.727,784.435,1439.162,212.388,363.285,575.673,733.612,1309.285,1773.996,292.347,2066.342,590.361,2656.703
2003 octubre,392.238,306.332,698.57,659.43,1358,261.042,341.324,602.366,734.755,1337.121,1832.115,296.782,2128.896,638.87,2767.767
2003 noviembre,588.263,295.679,883.942,666.686,1550.628,343.575,315.967,659.542,712.43,1371.973,1764.103,283.755,2047.858,639.799,2687.657
2003 diciembre,978.095,385.842,1363.937,867.931,2231.867,505.802,333.931,839.733,751.16,1590.893,1876.136,280.765,2156.901,631.566,2788.466
2004 enero,1239.829,433.738,1673.567,959.181,2632.749,641.426,338.747,980.173,749.115,1729.288,1866.154,275.768,2141.922,609.842,2751.764
2004 febrero,1094.984,383.727,1478.711,813.569,2292.281,595.41,319.628,915.037,677.666,1592.704,1826.486,271.826,2098.312,576.318,2674.63
2004 marzo,790.755,337.608,1128.363,723.545,1851.908,456.577,325.269,781.846,697.101,1478.947,1876.705,284.314,2161.019,609.327,2770.346
2004 abril,544.871,291.306,836.177,619.937,1456.114,339.891,319.131,659.021,679.152,1338.173,1827.795,284.456,2112.251,605.359,2717.61
2004 mayo,347.168,309.121,656.289,724.849,1381.139,244.965,344.2,589.165,807.105,1396.271,1851.942,296.804,2148.746,695.968,2844.714
2004 junio,271.16,383.287,654.447,843.777,1498.225,208.345,368.913,577.258,812.133,1389.391,1828.363,295.93,2124.293,651.468,2775.761
2004 julio,249.186,441.19,690.376,984.585,1674.961,200.176,394.07,594.247,879.43,1473.677,1874.4,301.892,2176.292,673.719,2850.012
2004 agosto,249.395,431.356,680.751,944.866,1625.617,201.66,390.512,592.172,855.398,1447.571,1903.185,305.17,2208.356,668.461,2876.817
2004 septiembre,250.253,383.296,633.549,811.602,1445.151,200.896,373.939,574.835,791.789,1366.624,1829.416,293.497,2122.912,621.458,2744.37
2004 octubre,370.651,318.907,689.557,692.462,1382.02,255.023,349.136,604.159,758.101,1362.26,1893.099,291.2,2184.299,632.301,2816.599
2004 noviembre,589.702,305.885,895.587,679.067,1574.654,349.682,326.708,676.39,725.295,1401.685,1853.686,287.258,2140.944,637.715,2778.659
2004 diciembre,989.63,388.819,1378.449,887.242,2265.691,538.345,347.956,886.301,793.998,1680.299,1907.998,284.788,2192.786,649.854,2842.64
2005 enero,1150.246,427.482,1577.728,942.405,2520.133,589.893,344.142,934.035,758.677,1692.712,1878.452,280.609,2159.06,618.615,2777.675
