Month,Primary Energy Consumed by the Residential Sector,Electricity Sales to Ultimate Customers in the Residential Sector,End-Use Energy Consumed by the Residential Sector,Residential Sector Electrical System Energy Losses,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Electricity Sales to Ultimate Customers in the Commercial Sector,End-Use Energy Consumed by the Commercial Sector,Commercial Sector Electrical System Energy Losses,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Electricity Sales to Ultimate Customers in the Industrial Sector,End-Use Energy Consumed by the Industrial Sector,Industrial Sector Electrical System Energy Losses,Total Energy Consumed by the Industrial Sector
2020 octubre,371.039,360.014,731.052,630.335,1361.388,306.716,370.093,676.809,647.984,1324.793,1886.104,281.051,2167.156,492.083,2659.238
2020 noviembre,591.153,340.043,931.197,624.741,1555.938,398.324,334.023,732.347,613.682,1346.028,1904.864,270.117,2174.981,496.27,2671.251
2020 diciembre,1001.342,442.744,1444.085,815.823,2259.908,579.865,359.817,939.682,663.017,1602.699,2006.327,271.226,2277.553,499.775,2777.328
2021 enero,1120.598,466.36,1586.958,855.052,2442.01,639.484,356.546,996.03,653.712,1649.742,2021.563,272.105,2293.668,498.894,2792.562
2021 febrero,1102.867,431.787,1534.654,802.914,2337.568,638.106,335.59,973.696,624.033,1597.729,1608.734,253.325,1862.059,471.061,2333.12
2021 marzo,764.851,390.244,1155.095,684.106,1839.201,488.179,351.017,839.196,615.34,1454.536,1893.811,264.606,2158.417,463.859,2622.276
2021 abril,493.393,320.356,813.749,575.686,1389.435,356.864,336.837,693.702,605.304,1299.005,1889.505,271.803,2161.308,488.435,2649.743
2021 mayo,350.976,345.159,696.135,652.826,1348.961,285.755,357.275,643.029,675.741,1318.77,1921.45,285.593,2207.043,540.164,2747.207
2021 junio,242.51,450.908,693.417,855.424,1548.841,238.091,406.208,644.299,770.623,1414.922,1879.563,295.826,2175.389,561.216,2736.605
2021 julio,218.286,527.135,745.421,975.924,1721.345,233.712,436.244,669.955,807.65,1477.605,1902.92,310.67,2213.59,575.167,2788.757
2021 agosto,207.041,538.386,745.427,992.382,1737.808,229.639,447.351,676.99,824.582,1501.572,1952.382,312.459,2264.84,575.941,2840.781
2021 septiembre,228.067,447.352,675.419,764.637,1440.056,243.184,405.989,649.173,693.938,1343.112,1868.884,292.808,2161.692,500.483,2662.175
2021 octubre,325.04,354.821,679.861,622.176,1302.037,301.648,382.985,684.633,671.56,1356.194,1948.29,291.235,2239.525,510.677,2750.202
2021 noviembre,651.163,343.216,994.379,635.819,1630.198,455.939,353.163,809.102,654.245,1463.347,1931.111,281.644,2212.755,521.755,2734.51
2021 diciembre,868.614,401.577,1270.191,742.338,2012.529,537.006,363.431,900.437,671.823,1572.261,2010.912,282.02,2292.931,521.329,2814.261
2022 enero,1207.802,481.285,1689.088,930.624,2619.712,702.926,383.129,1086.054,740.826,1826.881,2061.097,284.277,2345.374,549.685,2895.058
2022 febrero,1025.216,431.002,1456.219,781.569,2237.788,611.21,346.846,958.056,628.962,1587.018,1848.603,259.15,2107.753,469.936,2577.689
2022 marzo,791.195,383.477,1174.671,683.08,1857.751,520.121,367.985,888.106,655.485,1543.591,1995.174,283.044,2278.218,504.18,2782.398
2022 abril,552.506,335.079,887.585,594.576,1482.161,387.062,354.234,741.296,628.565,1369.861,1882.911,277.096,2160.007,491.688,2651.695
2022 mayo,341.57,378.881,720.451,719.937,1440.388,286.245,379.963,666.208,721.994,1388.202,1875.53,290.334,2165.863,551.683,2717.546
2022 junio,248.208,469.084,717.292,882.122,1599.414,242.321,409.479,651.801,770.035,1421.836,1895.354,301.043,2196.397,566.119,2762.516
2022 julio,228.157,565.418,793.576,1052.078,1845.654,234.837,451.434,686.271,839.986,1526.258,1969.574,304.246,2273.82,566.112,2839.932
2022 agosto,216.285,551.533,767.819,974.433,1742.252,229.952,457.767,687.719,808.77,1496.489,1966.073,312.498,2278.57,552.112,2830.682
2022 septiembre,235.746,444.852,680.599,749.747,1430.346,242.723,418.083,660.805,704.629,1365.435,1902.085,290.502,2192.588,489.608,2682.195
2022 octubre,392.465,343.671,736.136,603.978,1340.114,330.132,376.335,706.467,661.381,1367.848,1963.457,286.785,2250.242,504.004,2754.246
2022 noviembre,692.316,354.66,1046.976,672.912,1719.889,473.165,358.126,831.291,679.489,1510.78,1959.503,274.416,2233.92,520.663,2754.582
2022 diciembre,1062.539,453.734,1516.273,867.413,2383.686,634.576,381.402,1015.978,729.134,1745.112,1863.025,274.313,2137.337,524.41,2661.747
